record,timestamp,CPU_ALL:User%,CPU_ALL:Sys%,MEM:memtotal,MEM:active,MEM:inactive,NET:eno1-write-KB/s,NET:eno1-read-KB/s,NET:eno2-write-KB/s,NET:eno2-read-KB/s,DISKREAD:sda,DISKREAD:sdb,DISKREAD:sdc,DISKREAD:sdd,DISKWRITE:sda,DISKWRITE:sdb,DISKWRITE:sdc,DISKWRITE:sdd
1391,1620925715,132.4,27.300000000000004,2849368.699999997,1027022.2999999998,1102757.1999999995,549.1000000000001,680.3999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1932.6000000000001,0.0,39.9,0.0
1392,1620925716,136.79999999999998,31.299999999999994,2849368.699999997,1027026.8,1102758.6999999997,738.1000000000004,661.4000000000002,0.0,0.0,0.0,0.0,0.0,0.0,610.9,0.0,95.69999999999999,8.0
1393,1620925717,147.19999999999993,28.899999999999995,2849368.699999997,1027137.5,1102651.7999999998,798.9000000000003,6201.700000000001,0.0,0.0,0.0,0.0,0.0,0.0,1006.1999999999997,0.0,291.4,0.0
1394,1620925718,138.00000000000006,30.699999999999996,2849368.699999997,1027139.6,1102651.9,593.7,466.1,0.0,0.0,0.0,0.0,0.0,0.0,1495.1000000000001,0.0,371.3,11.0
1395,1620925719,132.99999999999997,28.2,2849368.699999997,1027199.5000000001,1102652.4,677.8999999999997,439.8,0.0,0.0,0.0,0.0,0.0,0.0,2079.6,0.0,381.29999999999995,0.0
1396,1620925720,140.99999999999997,30.499999999999996,2849368.699999997,1027122.8999999998,1102652.7,629.8,558.5999999999999,0.0,0.0,2.0,1.0,1.0,1.0,2032.2000000000003,0.0,8.0,0.0
1397,1620925721,146.50000000000006,34.400000000000006,2849368.699999997,1027160.0,1102652.9,894.5000000000005,694.9000000000001,0.0,0.0,0.0,0.0,0.0,0.0,2835.0,0.0,143.6,0.0
1398,1620925722,139.1,30.000000000000004,2849368.699999997,1027143.5000000002,1102653.2999999998,836.4000000000002,655.8000000000002,0.0,0.0,0.0,0.0,0.0,0.0,1185.9,0.0,251.5,0.0
1399,1620925723,136.20000000000005,29.299999999999986,2849368.699999997,1027157.1,1102653.4,562.6999999999999,530.3000000000001,0.0,0.0,0.0,0.0,0.0,0.0,2047.4,0.0,385.40000000000003,11.0
1400,1620925724,142.4,31.09999999999999,2849368.699999997,1027192.1000000001,1102654.4999999998,1027.5,458.2,0.0,0.0,0.0,0.0,0.0,0.0,1680.6000000000004,0.0,393.2,0.0
1401,1620925725,133.0,24.599999999999998,2849368.699999997,1027186.3000000003,1102655.0999999996,1103.7,546.2999999999998,0.0,0.0,0.0,0.0,0.0,0.0,5661.999999999999,0.0,39.9,0.0
1402,1620925726,133.80000000000004,29.89999999999999,2849368.699999997,1027222.0000000001,1102655.4999999995,661.5999999999999,500.7999999999999,0.0,0.0,0.0,0.0,0.0,0.0,1908.4,0.0,147.6,0.0
1403,1620925727,135.89999999999998,28.999999999999996,2849368.699999997,1027178.0000000003,1102655.8999999997,4340.3,1854.8,0.0,0.0,0.0,0.0,0.0,0.0,2451.600000000001,0.0,119.8,0.0
1404,1620925729,159.5,34.8,2849368.699999997,1027224.2000000002,1102569.4999999995,6347.5,6947.100000000002,0.0,0.0,0.0,0.0,0.0,0.0,895.5999999999999,0.0,411.09999999999997,11.2
1405,1620925730,132.40000000000003,28.600000000000005,2849368.699999997,1027235.7999999999,1102412.7999999996,848.3000000000001,579.4000000000001,0.0,0.0,0.0,0.0,0.0,0.0,3594.5000000000005,0.0,329.0,0.0
1406,1620925731,142.09999999999997,29.900000000000006,2849368.699999997,1027309.3999999998,1102413.0999999996,409.7000000000001,486.60000000000014,0.0,0.0,0.0,0.0,0.0,0.0,1153.5,0.0,47.9,0.0
1407,1620925732,157.2,35.999999999999986,2849368.699999997,1027342.8,1102285.7999999996,642.2,13115.699999999997,0.0,0.0,0.0,0.0,0.0,0.0,1736.6000000000006,0.0,111.5,0.0
1408,1620925733,145.79999999999998,31.100000000000005,2849368.699999997,1027361.0000000002,1102286.2999999998,5395.500000000002,1212.6000000000001,0.0,0.0,0.0,0.0,0.0,0.0,1297.1,0.0,159.7,0.0
1409,1620925734,137.79999999999995,30.299999999999986,2849368.699999997,1027376.2000000002,1102287.0999999999,1012.6000000000001,1070.7,0.0,0.0,0.0,0.0,0.0,0.0,2742.0,0.0,363.1,10.9
1410,1620925735,140.99999999999994,31.599999999999998,2849368.699999997,1027361.4000000001,1102287.2,576.3000000000001,830.3000000000002,0.0,0.0,0.0,0.0,0.0,0.0,3238.2999999999997,0.0,322.09999999999997,0.0
