gis_join,total_iterations,is_center
G2700970,1,false
G0600570,1,false
G1901130,1,false
G4803850,1,false
G0501370,1,false
G3701370,1,false
G3800270,1,false
G4600230,1,false
G1701190,1,false
G1800230,1,false
G5100410,1,false
G4804070,1,false
G3601170,1,false
G5600410,1,false
G4000370,1,false
G3800870,1,false
G5500270,1,false
G2700750,1,false
G2100610,1,false
G4804110,1,false
G4000210,1,false
G1303170,1,false
G5108100,1,false
G2600270,1,false
G3800490,1,false
G1901490,1,false
G3901090,1,false
G4801450,1,false
G5500630,1,false
G2101410,1,false
G0800230,1,false
G4804330,1,false
G2701470,1,false
G4601050,1,false
G5101010,1,false
G3901690,1,false
G5105900,1,false
G0100810,1,false
G4600210,1,false
G1800210,1,false
G4601190,1,false
G1302530,1,false
G5501150,1,false
G1700690,1,false
G4800190,1,false
G0801130,1,false
G3701850,1,false
G2700910,1,false
G2600830,1,false
G3000550,1,false
G0501410,1,false
G1700070,1,false
G3900750,1,false
G0100610,1,false
G1701210,1,false
G4600910,1,false
G3100510,1,false
G2800210,1,false
G4800530,1,false
G0500870,1,false
G3700790,1,false
G2300030,1,false
G5600290,1,false
G2700370,1,false
G5501210,1,false
G3800070,1,false
G1200770,1,false
G2000990,1,false
G4801510,1,false
G4000290,1,false
G3901650,1,false
G4600450,1,false
G1301730,1,false
G2801010,1,false
G2701730,1,false
G0501290,1,false
G3700830,1,false
G3901530,1,false
G5500350,1,false
G2700850,1,false
G5600350,1,false
G1701570,1,false
G1200830,1,false
G4802810,1,false
G4600950,1,false
G2001130,1,false
G1801370,1,false
G4000610,1,false
G3900850,1,false
G5101450,1,false
G3800150,1,false
G3100890,1,false
G4803510,1,false
G1303190,1,false
G5500330,1,false
G4802690,1,false
G4701650,1,false
G2700030,1,false
G0800330,1,false
G4802830,1,false
G3001050,1,false
G3700770,1,false
G4001030,1,false
G2600790,1,false
G1301290,1,false
G3901010,1,false
G4600850,1,false
G5501030,1,false
G1303050,1,false
G3801050,1,false
G4804170,1,false
G0500130,1,false
G2900710,1,false
G4803230,1,false
G2700570,1,false
G4701750,1,false
G3600450,1,false
G5100070,1,false
G5600370,1,false
G3800890,1,false
G0500710,1,false
G1800690,1,false
G5500190,1,false
G1300170,1,false
G3101790,1,false
G4800310,1,false
G2100990,1,false
G2700290,1,false
G1200370,1,false
G0500990,1,false
G1301230,1,false
G5100370,1,false
G2701030,1,false
G2600030,1,false
G0801070,1,false
G5300710,1,false
G3000790,1,false
G4001210,1,false
G1700590,1,false
G3901570,1,false
G4802750,1,false
G5501410,1,false
G1901670,1,false
G1301270,1,false
G3800650,1,false
G4700310,1,false
G1300650,1,false
G0500350,1,false
G2801550,1,false
G3600290,1,false
G4700570,1,false
G5500950,1,false
G2100910,1,false
G4801370,1,false
G4600550,1,false
G4900090,1,false
G5501370,1,false
G1801830,1,false
G1201250,1,false
G2900090,1,false
G4001250,1,false
G4800510,1,false
G4600730,1,false
G5100810,1,false
G3800190,1,false
G3600730,1,false
G2101190,1,false
G2002050,1,false
G3700610,1,false
G2701230,1,false
G4802530,1,false
G5500710,1,false
G4601210,1,false
G1200070,1,false
G2600370,1,false
G5600390,1,false
G5101810,1,false
G4000470,1,false
G4600170,1,false
G3600370,1,false
G2100530,1,false
G4804570,1,false
G3700670,1,false
G3800670,1,false
G2102250,1,false
G4802670,1,false
G1900110,1,false
G0500530,1,false
G2700950,1,false
G4805070,1,false
G0501010,1,false
G5101470,1,false
G3800110,1,false
G3600650,1,false
G2100130,1,false
G4900410,1,false
G4600050,1,false
G3901470,1,false
G0101170,1,false
G1801250,1,false
G2201250,1,false
G3800470,1,false
G4800950,1,false
G1300830,1,false
G1900970,1,false
G1200450,1,false
G3701870,1,false
G2701210,1,false
G4700410,1,false
G1302890,1,false
G3600990,1,false
G5101050,1,false
G3000250,1,false
G1901930,1,false
G2101790,1,false
G3900510,1,false
G1302470,1,false
G5600130,1,false
G1301610,1,false
G5500210,1,false
G1200470,1,false
G3800610,1,false
G4001090,1,false
G2901190,1,false
G3700550,1,false
G2101950,1,false
G2600950,1,false
G1701170,1,false
G2700590,1,false
G1301410,1,false
G3000190,1,false
G1800370,1,false
G2701170,1,false
G5500090,1,false
G2600810,1,false
G1201230,1,false
G0800290,1,false
G1300930,1,false
G3700370,1,false
G4701070,1,false
G2901530,1,false
G5107300,1,false
G2701670,1,false
G2100250,1,false
G3900550,1,false
G2100030,1,false
G1701690,1,false
G5500070,1,false
G3701630,1,false
G5500810,1,false
G3000210,1,false
G4804790,1,false
G4601150,1,false
G3900490,1,false
G3700630,1,false
G0100190,1,false
G0600030,1,false
G1201330,1,false
G2100450,1,false
G2000790,1,false
